022|Čierne bodky, hovorilo sa im bunky, sa pohybovali, vzájomne na seba pôsobili a reprodukovali sa podľa vopred naprogramovaných pravidiel.|Čierne bodky, hovorilo sa im bunky, sa pohybovali, vzájomne na seba pôsobili a reprodukovali sa podľa vopred naprogramovaných pravidiel.
023|Bodky vedené iba tými pôvodnými pravidlami sa po istom čase začali samy zoskupovať do zhlukov, radov a pravidelných obrazcov, ktoré sa vyvíjali, boli čoraz zložitejšie a začali sa nápadne podobať na obrazce, aké vidíme v prírode.|Bodky vedené iba tými pôvodnými pravidlami sa po istom čase začali samy zoskupovať do zhlukov, radov a pravidelných obrazcov, ktoré sa vyvíjali, boli čoraz zložitejšie a začali sa nápadne podobať na obrazce, aké vidíme v prírode.
024|Conwayova Hra života, utrúsila Ambra.|Conwayova Hra života, utrúsila Ambra.
025|Pred niekoľkými rokmi som videla digitálnu inštaláciu, ktorá bola na nej založená.|Pred niekoľkými rokmi som videla digitálnu inštaláciu, ktorá bola na nej založená.
026|Volalo sa to Bunkový automat.|Volalo sa to Bunkový automat.
027|Na Langdona to zapôsobilo.|Na Langdona to zapôsobilo.
028|O tejto hre sa dozvedel len preto, že vynálezca Conway prednášal na Princetone.|O tejto hre sa dozvedel len preto, že vynálezca Conway prednášal na Princetone.
029|Opäť ho zaujal chorál.|Opäť ho zaujal chorál.
030|Akoby som to už niekde počul.|Akoby som to už niekde počul.
031|Renesančná omša?|Renesančná omša?
032|Robert, pozrite, upozornila ho Ambra.|Robert, pozrite, upozornila ho Ambra.
033|Skupiny rozbehaných bodiek na obrazovke zmenili smer a zrýchľovali, akoby sa program teraz prehrával odzadu. |Skupiny rozbehaných bodiek na obrazovke zmenili smer a zrýchľovali, akoby sa program teraz prehrával odzadu. 
034|Ich rad sa krútil čoraz rýchlejšie smerom dozadu.|Ich rad sa krútil čoraz rýchlejšie smerom dozadu.
035|Počet bodiek sa začal znižovat. |Počet bodiek sa začal znižovat. 
036|Bunky sa už nedelili ani neznásobovali, ale sa zoskupovali.|Bunky sa už nedelili ani neznásobovali, ale sa zoskupovali.
037|Ich štruktúra sa zjednodušovala, až ich napokon zostala iba hŕstka a aj tie splývali.|Ich štruktúra sa zjednodušovala, až ich napokon zostala iba hŕstka a aj tie splývali.
038|Najprv osem, potom štyri, potom dve, potom jedna.|Najprv osem, potom štyri, potom dve, potom jedna.
039|Uprostred obrazovky žmurkala jediná bunka.|Uprostred obrazovky žmurkala jediná bunka.
040|Langdona zamrazilo.|Langdona zamrazilo.
041|Pôvod života.|Pôvod života.
042|Bodka zmizla a zostalo iba prázdno.|Bodka zmizla a zostalo iba prázdno.
043|Prázdna biela obrazovka.|Prázdna biela obrazovka.
044|Hra života sa skončila a začal vystupovať nezreteľný text.|Hra života sa skončila a začal vystupovať nezreteľný text.
045|Postupne sa zvýrazňoval, až sa dal prečítať.|Postupne sa zvýrazňoval, až sa dal prečítať.
046|Ak pripustíme prvotnú príčinu, mozog stále túži vedieť, odkiaľ prišla a ako vznikla.|Ak pripustíme prvotnú príčinu, mozog stále túži vedieť, odkiaľ prišla a ako vznikla.
047|To je Darwin, zašepkal Langdon, keď si spomenul na Darwinovu formuláciu tej istej otázky, ktorú si kládol Edmond Kirch.|To je Darwin, zašepkal Langdon, keď si spomenul na Darwinovu formuláciu tej istej otázky, ktorú si kládol Edmond Kirch.
048|Odkiaľ pochádzame? vyhŕkla Ambra vzrušene, keď si prečítala text.|Odkiaľ pochádzame? vyhŕkla Ambra vzrušene, keď si prečítala text.
049|Presne tak, prikývol Langdon.|Presne tak, prikývol Langdon.
050|Ambra sa naňho usmiala.|Ambra sa naňho usmiala.
051|Ideme to zistiť?|Ideme to zistiť?
052|Ukázala na priechod medzi stĺpmi vedľa obrazovky, ktorý zrejme viedol do vlastného kostola.|Ukázala na priechod medzi stĺpmi vedľa obrazovky, ktorý zrejme viedol do vlastného kostola.
053|Keď prechádzali cez vestibul, obrazovka znova ožila a zjavili sa na nej zdanlivo náhodné koláže slov.|Keď prechádzali cez vestibul, obrazovka znova ožila a zjavili sa na nej zdanlivo náhodné koláže slov.
054|Počet slov ustavične chaoticky rástol, ukazovali sa nové slová, menili sa a spájali do zložitého usporiadania.|Počet slov ustavične chaoticky rástol, ukazovali sa nové slová, menili sa a spájali do zložitého usporiadania.
055|Rast, nové púčiky, prekrásne rozvetvenia.|Rast, nové púčiky, prekrásne rozvetvenia.
056|Ako sa obraz rozširoval, Langdon a Ambra videli, že slová nadobúdajú tvar rastúceho stromu.|Ako sa obraz rozširoval, Langdon a Ambra videli, že slová nadobúdajú tvar rastúceho stromu.
057|Čo je to, preboha?|Čo je to, preboha?
058|Stáli pred obrazovkou a spev silnel.|Stáli pred obrazovkou a spev silnel.
059|Langdon postrehol, že hlasy nespievajú po latinsky, ako sa nazdával, ale po anglicky.|Langdon postrehol, že hlasy nespievajú po latinsky, ako sa nazdával, ale po anglicky.
060|Bože, tie slová na obrazovke, zvolala Ambra.|Bože, tie slová na obrazovke, zvolala Ambra.
061|Myslím, že sa zhodujú so spevom.|Myslím, že sa zhodujú so spevom.
062|Máte pravdu, prisvedčil Langdon, keď videl, že súčasne so spevom sa zjavujú na obrazovke slová.|Máte pravdu, prisvedčil Langdon, keď videl, že súčasne so spevom sa zjavujú na obrazovke slová.
063|Pomaly narastajúcimi príčinami.|Pomaly narastajúcimi príčinami.
064|Nie zázračnými činmi.|Nie zázračnými činmi.
065|Langdon počúval a čítal, zvláštne vykoľajený spojením textu a hudby.|Langdon počúval a čítal, zvláštne vykoľajený spojením textu a hudby.
066|Hudba bola neomylne cirkevná, no text v nijakom prípade nebol náboženský.|Hudba bola neomylne cirkevná, no text v nijakom prípade nebol náboženský.
067|Organické tvory.|Organické tvory.
068|Najsilnejší prežije.|Najsilnejší prežije.
069|Najslabší zahynie.|Najslabší zahynie.
070|Langdon stŕpol.|Langdon stŕpol.
071|To predsa poznám!|To predsa poznám!
072|Pred niekoľkými rokmi Edmond vzal Langdona na predstavenie.|Pred niekoľkými rokmi Edmond vzal Langdona na predstavenie.
073|Volalo sa to Missa Charles Darwin a bola to omša v kresťanskom duchu, no skladateľ nesiahol po tradičnom latinskom texte, ale nahradil ho výňatkami z Darwinovho diela O pôvode druhov, čím vytvoril pôsobivý kontrapunkt, keď zbožné hlasy spievajú o brutalite prirodzeného výberu.|Volalo sa to Missa Charles Darwin a bola to omša v kresťanskom duchu, no skladateľ nesiahol po tradičnom latinskom texte, ale nahradil ho výňatkami z Darwinovho diela O pôvode druhov, čím vytvoril pôsobivý kontrapunkt, keď zbožné hlasy spievajú o brutalite prirodzeného výberu.
074|Zvláštne, skonštatoval Langdon.|Zvláštne, skonštatoval Langdon.
075|S Edmondom sme pred istým časom túto skladbu počuli.|S Edmondom sme pred istým časom túto skladbu počuli.
076|Veľmi sa mu páčila.|Veľmi sa mu páčila.
077|Taká zhoda okolností počuť ju znova.|Taká zhoda okolností počuť ju znova.
078|Nijaká zhoda okolností, zahrmel z reproduktorov známy hlas.|Nijaká zhoda okolností, zahrmel z reproduktorov známy hlas.
079|Edmond ma naučil vítať hostí v mojom domove hudbou, ktorú ocenia, a ukázať im niečo zaujímavé na diskusiu.|Edmond ma naučil vítať hostí v mojom domove hudbou, ktorú ocenia, a ukázať im niečo zaujímavé na diskusiu.
080|Langdon a Ambra vyvalili oči na reproduktory.|Langdon a Ambra vyvalili oči na reproduktory.
081|Radostný hlas, čo ich vítal, mal výrazne britský prízvuk.|Radostný hlas, čo ich vítal, mal výrazne britský prízvuk.
082|Veľmi ma teší, že ste sem našli cestu, dodal známy syntetický hlas.|Veľmi ma teší, že ste sem našli cestu, dodal známy syntetický hlas.
083|Ja som sa nemal s vami ako spojiť.|Ja som sa nemal s vami ako spojiť.
084|Winston zvolal Langdon. |Winston zvolal Langdon. 
085|Žasol, akú úľavu mu prinieslo spojenie so strojom.|Žasol, akú úľavu mu prinieslo spojenie so strojom.
086|S Ambrou mu rýchlo rozpovedali, čo sa zbehlo.|S Ambrou mu rýchlo rozpovedali, čo sa zbehlo.
087|Dobre mi padne počuť vaše hlasy, povedal Winston.|Dobre mi padne počuť vaše hlasy, povedal Winston.
088|A povedzte našli sme, čo sme hľadali?|A povedzte našli sme, čo sme hľadali?
089|Kapitola 84.|Kapitola osemdesiat štyri.
090|William Blake, začal Langdon.|William Blake, začal Langdon.
091|Temné náboženstvá odumreli a vlády sa ujala vonná veda.|Temné náboženstvá odumreli a vlády sa ujala vonná veda.
092|Winston váhal iba okamih.|Winston váhal iba okamih.
093|Posledný verš jeho epickej básne Štyria Zoaovia.|Posledný verš jeho epickej básne Štyria Zoaovia.
094|Dokonalá voľba, to treba povedať.|Dokonalá voľba, to treba povedať.
095|Odmlčal sa.|Odmlčal sa.
096|Lenže potrebný počet štyridsiatich siedmich písmen.|Lenže potrebný počet štyridsiatich siedmich písmen.
097|Ampersand, prerušil ho Langdon a rýchlo mu vysvetlil Kirschov trik s ligatúrou na et.|Ampersand, prerušil ho Langdon a rýchlo mu vysvetlil Kirschov trik s ligatúrou na et.
098|Celý Edmond.|Celý Edmond.
099|Syntetický hlas sa pobavene zasmial.|Syntetický hlas sa pobavene zasmial.
100|Takže, Winston, ozvala sa netrpezlivo Ambra, keď teraz poznáte Edmondovo heslo, môžete spustiť zvyšok prezentácie?|Takže, Winston, ozvala sa netrpezlivo Ambra, keď teraz poznáte Edmondovo heslo, môžete spustiť zvyšok prezentácie?
101|Samozrejme, odvetil Winston jednoznačne.|Samozrejme, odvetil Winston jednoznačne.
102|Stačí, keď manuálne zadáte heslo.|Stačí, keď manuálne zadáte heslo.
103|Edmond tento projekt všemožne zabezpečil, takže k nemu nemám priamy prístup, ale zavediem vás do jeho laboratória a ukážem vám, kam heslo zadať.|Edmond tento projekt všemožne zabezpečil, takže k nemu nemám priamy prístup, ale zavediem vás do jeho laboratória a ukážem vám, kam heslo zadať.
104|Môžeme to spustiť do desiatich minút.|Môžeme to spustiť do desiatich minút.
105|Langdon a Ambra sa na seba pozreli, tieto Winstonove slová ich zaskočili.|Langdon a Ambra sa na seba pozreli, tieto Winstonove slová ich zaskočili.
106|Pri všetkom, čo v ten večer prežili, triumfálna chvíľa prišla bez fanfár.|Pri všetkom, čo v ten večer prežili, triumfálna chvíľa prišla bez fanfár.
107|Robert, šepla Ambra a položila mu ruku na plece.|Robert, šepla Ambra a položila mu ruku na plece.
108|To je vaša zásluha.|To je vaša zásluha.
109|Ďakujem vám.|Ďakujem vám.
110|Tímová práca, odvetil s úsmevom.|Tímová práca, odvetil s úsmevom.
111|Smiem navrhnúť, aby sme hneď prešli dozadu do Edmondovho laboratória?|Smiem navrhnúť, aby sme hneď prešli dozadu do Edmondovho laboratória?
112|Navrhol Winston.|Navrhol Winston.
113|Tu vo vestibule na vás vidieť a zo správ som zistil, že ste tu v okolí.|Tu vo vestibule na vás vidieť a zo správ som zistil, že ste tu v okolí.
114|Langdona to neprekvapilo.|Langdona to neprekvapilo.
115|Keď v mestskom parku zosadne vojenská helikoptéra, vzbudí to pozornosť.|Keď v mestskom parku zosadne vojenská helikoptéra, vzbudí to pozornosť.
116|Povedzte, kam máme ísť, vyzvala Ambra Winstona.|Povedzte, kam máme ísť, vyzvala Ambra Winstona.
117|Medzi stĺpy, odvetil Winston.|Medzi stĺpy, odvetil Winston.
118|Za mojím hlasom.|Za mojím hlasom.
119|Chorál vo vestibule zrazu stíchol, obrazovka stemnela a od hlavného vchodu sa ozval viacnásobný hlasný buchot, ako sa zasunuli automaticky ovládané závory.|Chorál vo vestibule zrazu stíchol, obrazovka stemnela a od hlavného vchodu sa ozval viacnásobný hlasný buchot, ako sa zasunuli automaticky ovládané závory.
120|Edmond to tu zmenil na pevnosť, pomyslel si Langdon a vrhol pohľad cez hrubé obloky predsiene.|Edmond to tu zmenil na pevnosť, pomyslel si Langdon a vrhol pohľad cez hrubé obloky predsiene.
121|Odľahlo mu, keď videl, že v zalesnenom okolí kostola sa nikto nepohybuje.|Odľahlo mu, keď videl, že v zalesnenom okolí kostola sa nikto nepohybuje.
122|Aspoň na chvíľu.|Aspoň na chvíľu.
123|Keď sa obrátil k Ambre, zbadal, že na konci vestibulu sa zažalo svetlo a osvietilo priechod medzi stĺpmi.|Keď sa obrátil k Ambre, zbadal, že na konci vestibulu sa zažalo svetlo a osvietilo priechod medzi stĺpmi.
124|S Ambrou k nemu zamierili a dostali sa do dlhej chodby.|S Ambrou k nemu zamierili a dostali sa do dlhej chodby.
125|Na druhom konci sa opäť zasvietilo.|Na druhom konci sa opäť zasvietilo.
126|Keď vykročili, Winston povedal.|Keď vykročili, Winston povedal.
127|Aby sme mali čo najviac divákov, musíme hneď vydať tlačové vyhlásenie, že onedlho sa bude vysielať prezentácia zosnulého Edmonda Kirscha.|Aby sme mali čo najviac divákov, musíme hneď vydať tlačové vyhlásenie, že onedlho sa bude vysielať prezentácia zosnulého Edmonda Kirscha.
128|Ak dáme médiám priestor na ohlásenie, výrazne to zvýši sledovanosť.|Ak dáme médiám priestor na ohlásenie, výrazne to zvýši sledovanosť.
129|Zaujímavé, podotkla Ambra a pridala do kroku.|Zaujímavé, podotkla Ambra a pridala do kroku.
130|No ako dlho máme podľa vás čakať?|No ako dlho máme podľa vás čakať?
131|Nechcem nič riskovať.|Nechcem nič riskovať.
132|Sedemnásť minút, odvetil Winston.|Sedemnásť minút, odvetil Winston.
133|Takto sa vysielanie začne s úderom celej hodiny.|Takto sa vysielanie začne s úderom celej hodiny.
134|Tu sú tri ráno, no v Amerike to bude najsledovanejší čas.|Tu sú tri ráno, no v Amerike to bude najsledovanejší čas.
135|Dokonalé, uznala Ambra.|Dokonalé, uznala Ambra.
136|Tak dobre, zahlaholil Winston.|Tak dobre, zahlaholil Winston.
137|Tlačové vyhlásenie uverejníme hneď a prezentáciu spustíme o sedemnásť minút.|Tlačové vyhlásenie uverejníme hneď a prezentáciu spustíme o sedemnásť minút.
138|Langdon iba s námahou sledoval Winstonovo bleskové plánovanie.|Langdon iba s námahou sledoval Winstonovo bleskové plánovanie.
139|Ambra sa pobrala po chodbe ďalej a Langdon za ňou.|Ambra sa pobrala po chodbe ďalej a Langdon za ňou.
140|Koľko personálu je tu dnes v noci?|Koľko personálu je tu dnes v noci?
141|Nikto, odvetil Winston.|Nikto, odvetil Winston.
142|Edmond bol fanatik na bezpečnosť.|Edmond bol fanatik na bezpečnosť.
143|Nie je tu nijaký personál.|Nie je tu nijaký personál.
144|Ja ovládam všetky počítačové siete a popritom osvetlenie, chladenie a zabezpečenie.|Ja ovládam všetky počítačové siete a popritom osvetlenie, chladenie a zabezpečenie.
145|Edmond žartoval, že v ére inteligentných domov je prvý, kto má inteligentný kostol.|Edmond žartoval, že v ére inteligentných domov je prvý, kto má inteligentný kostol.
146|Langdon počúval iba na pol ucha, v myšlienkach bol zrazu inde.|Langdon počúval iba na pol ucha, v myšlienkach bol zrazu inde.
147|Znepokojil ho krok, ktorý sa chystajú podniknúť.|Znepokojil ho krok, ktorý sa chystajú podniknúť.
148|Winston, naozaj si myslíte, že práve teraz je vhodná chvíľa na spustenie Edmondovej prezentácie?|Winston, naozaj si myslíte, že práve teraz je vhodná chvíľa na spustenie Edmondovej prezentácie?
149|Ambra zastala a premerala si ho.|Ambra zastala a premerala si ho.
150|Samozrejme, Robert!|Samozrejme, Robert!
151|Preto sme tu!|Preto sme tu!
152|Sleduje to celý svet!|Sleduje to celý svet!
153|A nevieme, či niekto nepríde a nepokúsi sa nám v tom zabrániť.|A nevieme, či niekto nepríde a nepokúsi sa nám v tom zabrániť.
154|Treba to urobiť teraz, kým nebude neskoro!|Treba to urobiť teraz, kým nebude neskoro!
155|Súhlasím, pridal sa Winston.|Súhlasím, pridal sa Winston.
156|Z výhradne štatistického hľadiska sa to celé blíži k bodu nasýtenia.|Z výhradne štatistického hľadiska sa to celé blíži k bodu nasýtenia.
157|Ak to meriame terabytmi, objav Edmonda Kirscha je jeden z najväčších trhákov za posledné desaťročie. |Ak to meriame terabytmi, objav Edmonda Kirscha je jeden z najväčších trhákov za posledné desaťročie. 
158|Co neprekvapuje, ak vezmeme do úvahy, že za posledných desať rokov narastala online komunita exponenciálne.|Co neprekvapuje, ak vezmeme do úvahy, že za posledných desať rokov narastala online komunita exponenciálne.
159|Robert?|Robert?
160|Ambra sa mu skúmavo zadívala do očí.|Ambra sa mu skúmavo zadívala do očí.
161|Čo vás znepokojuje?|Čo vás znepokojuje?
162|Langdon váhal, rozmýšľal, ako najvýstižnejšie vyjadriť svoju neistotu.|Langdon váhal, rozmýšľal, ako najvýstižnejšie vyjadriť svoju neistotu.
163|Robím si starosti o Edmonda, či všetky tie konšpiračné teórie, vraždy, únos, kráľovské intrigy, nezatienia jeho objav.|Robím si starosti o Edmonda, či všetky tie konšpiračné teórie, vraždy, únos, kráľovské intrigy, nezatienia jeho objav.
164|Správna pripomienka, pán profesor, pripustil Winston.|Správna pripomienka, pán profesor, pripustil Winston.
165|Ale podľa môjho názoru neberiete do úvahy jednu dôležitú skutočnosť.|Ale podľa môjho názoru neberiete do úvahy jednu dôležitú skutočnosť.
166|Práve pre konšpiračné teórie to sleduje toľko ľudí.|Práve pre konšpiračné teórie to sleduje toľko ľudí.
167|Edmondovu prezentáciu sledovalo tri celé osem desatín milióna ľudí.|Edmondovu prezentáciu sledovalo tri celé osem desatín milióna ľudí.
168|No po dramatických udalostiach posledných hodín odhadujem, že prostredníctvom novinových správ, sociálnych médií, televízie a rozhlasu to narástlo na dajakých dvesto miliónov ľudí.|No po dramatických udalostiach posledných hodín odhadujem, že prostredníctvom novinových správ, sociálnych médií, televízie a rozhlasu to narástlo na dajakých dvesto miliónov ľudí.
169|Toto číslo sa zdalo Langdonovi ohromujúce, hoci si spomenul, že finále majstrovstiev sveta vo futbale sledovalo vyše dvesto miliónov a prvé pristátie na Mesiaci pred polstoročím, keď ešte nikto nemal internet, päťsto miliónov, a pritom televízia ešte nebola príliš rozšírená.|Toto číslo sa zdalo Langdonovi ohromujúce, hoci si spomenul, že finále majstrovstiev sveta vo futbale sledovalo vyše dvesto miliónov a prvé pristátie na Mesiaci pred polstoročím, keď ešte nikto nemal internet, päťsto miliónov, a pritom televízia ešte nebola príliš rozšírená.
170|V akademických kruhoch to nezažijete, pán profesor, povedal Winston, ale ostatný svet, to je vlastne jedna reality šou.|V akademických kruhoch to nezažijete, pán profesor, povedal Winston, ale ostatný svet, to je vlastne jedna reality šou.
171|Paradoxne, tí, čo chceli dnes Edmonda umlčať, dosiahli pravý opak.|Paradoxne, tí, čo chceli dnes Edmonda umlčať, dosiahli pravý opak.
172|Edmond má teraz najväčšie publikum, aké kedy v dejinách sledovalo vedecký objav.|Edmond má teraz najväčšie publikum, aké kedy v dejinách sledovalo vedecký objav.
173|Pripomína mi to obdobie, keď Vatikán odsúdil vašu knihu Kresťanstvo a posvätné ženstvo, ktorá sa potom okamžite stala bestsellerom.|Pripomína mi to obdobie, keď Vatikán odsúdil vašu knihu Kresťanstvo a posvätné ženstvo, ktorá sa potom okamžite stala bestsellerom.
174|Skoro bestsellerom, pomyslel si Langdon, ale chápal, ako to Winston myslí.|Skoro bestsellerom, pomyslel si Langdon, ale chápal, ako to Winston myslí.
175|Medzi hlavné dnešné Edmondove priority patril čo najväčší počet divákov, pripomenul Winston.|Medzi hlavné dnešné Edmondove priority patril čo najväčší počet divákov, pripomenul Winston.
176|Má pravdu, podporila ho Ambra s pohľadom upretým na Langdona.|Má pravdu, podporila ho Ambra s pohľadom upretým na Langdona.
177|Keď sme s Edmondom sledovali živý prenos z Guggenheimu, bol priam uchvátený, ako to publikum strhlo a ako od prezentácie neodtŕhalo oči.|Keď sme s Edmondom sledovali živý prenos z Guggenheimu, bol priam uchvátený, ako to publikum strhlo a ako od prezentácie neodtŕhalo oči.
178|Ako som povedal, zdôraznil Winston, blížime sa k bodu nasýtenia, pokiaľ ide o médiá, a na zverejnenie jeho objavu neexistuje vhodnejší čas ako práve teraz.|Ako som povedal, zdôraznil Winston, blížime sa k bodu nasýtenia, pokiaľ ide o médiá, a na zverejnenie jeho objavu neexistuje vhodnejší čas ako práve teraz.
179|Rozumiem, prikývol Langdon.|Rozumiem, prikývol Langdon.
180|Povedzte teda, čo máme robiť.|Povedzte teda, čo máme robiť.
181|Na chodbe natrafili na nečakanú prekážku.|Na chodbe natrafili na nečakanú prekážku.
182|Na rebrík opretý krížom cez chodbu, akoby sa išlo maľovať. |Na rebrík opretý krížom cez chodbu, akoby sa išlo maľovať. 
183|A dalo sa prejsť iba tak, že sa buď odstráni, alebo sa prejde popod neho.|A dalo sa prejsť iba tak, že sa buď odstráni, alebo sa prejde popod neho.
184|Ten rebrík, povedal Langdon, mám ho odložiť?|Ten rebrík, povedal Langdon, mám ho odložiť?
185|Nie, odvetil Winston.|Nie, odvetil Winston.
186|Edmond ho tam postavil už dávno.|Edmond ho tam postavil už dávno.
187|Prečo? začudovala sa Ambra.|Prečo? začudovala sa Ambra.
188|Ako zaiste viete, Edmond pohŕdal poverami v každej podobe.|Ako zaiste viete, Edmond pohŕdal poverami v každej podobe.
189|Dával si záležať, aby každý deň cestou do práce pod tým rebríkom prešiel.|Dával si záležať, aby každý deň cestou do práce pod tým rebríkom prešiel.
190|Takto ukazoval bohom dlhý nos.|Takto ukazoval bohom dlhý nos.
191|A keď niektorý hosť alebo technik pod ním odmietol prejsť, Edmond ho na mieste vykázal z budovy.|A keď niektorý hosť alebo technik pod ním odmietol prejsť, Edmond ho na mieste vykázal z budovy.
192|Stále tá istá logika, usmial sa Langdon a spomenul si, ako ho raz Edmond verejne pokarhal za to, že pre šťastie poklopkal na drevo.|Stále tá istá logika, usmial sa Langdon a spomenul si, ako ho raz Edmond verejne pokarhal za to, že pre šťastie poklopkal na drevo.
193|Robert, ak len nie si tajný druid, ktorý poklopkáva na stromy, aby ich prebudil, nechaj, prosím ťa, tú hlúpu poveru minulosti, kam patrí!|Robert, ak len nie si tajný druid, ktorý poklopkáva na stromy, aby ich prebudil, nechaj, prosím ťa, tú hlúpu poveru minulosti, kam patrí!
194|Ambra sklonila hlavu a prešla pod rebríkom.|Ambra sklonila hlavu a prešla pod rebríkom.
195|Prešiel pod ním aj Langdon, bezdôvodne rozochvený.|Prešiel pod ním aj Langdon, bezdôvodne rozochvený.
196|Na druhej strane ich Winston poslal za roh k veľkým bezpečnostným dverám s dvoma kamerami a biometrickým snímačom.|Na druhej strane ich Winston poslal za roh k veľkým bezpečnostným dverám s dvoma kamerami a biometrickým snímačom.
197|Nad dverami visela rukou napísaná ceduľa: MIESTNOSŤ 13.|Nad dverami visela rukou napísaná ceduľa: MIESTNOSŤ trinásť.
198|Langdon sa zadíval na to neslávne známe číslo.|Langdon sa zadíval na to neslávne známe číslo.
199|Edmond zasa provokuje bohov.|Edmond zasa provokuje bohov.
200|To je vchod do jeho laboratória, povedal Winston.|To je vchod do jeho laboratória, povedal Winston.
201|Okrem technikov, čo ho pomáhali Edmondovi zriadiť, mal doň prístup málokto.|Okrem technikov, čo ho pomáhali Edmondovi zriadiť, mal doň prístup málokto.
202|Bezpečnostné dvere hlasno zabzučali.|Bezpečnostné dvere hlasno zabzučali.
203|Ambra rýchlo schytila kľučku a otvorila ich.|Ambra rýchlo schytila kľučku a otvorila ich.
204|Prekročila prah, vzápätí znehybnela a s tlmeným výkrikom si priložila na ústa dlaň.|Prekročila prah, vzápätí znehybnela a s tlmeným výkrikom si priložila na ústa dlaň.
205|Keď popri nej Langdon nazrel dnu, videl, prečo tak zareagovala.|Keď popri nej Langdon nazrel dnu, videl, prečo tak zareagovala.
206|Rozľahlému svätostánku dominovala najväčšia sklená debna, akú kedy Langdon videl.|Rozľahlému svätostánku dominovala najväčšia sklená debna, akú kedy Langdon videl.
207|Zaberala celú jeho plochu a týčila sa až pod strop v dvoch úrovniach.|Zaberala celú jeho plochu a týčila sa až pod strop v dvoch úrovniach.
208|Bola rozdelená na dve podlažia.|Bola rozdelená na dve podlažia.
